Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
과목,대단원,기호,중단원
공수1,다항식,A1,다항식의 연산
,,A2,항등식과 나머지정리
,,A3,인수분해
,방정식과 부등식,B1,복소수
,,B2,이차방정식
,,B3,이차함수
,,B4,여러가지 방정식
,,B5,여러가지 부등식
,경우의수,C1,경우의수
,,C2,순열
,,C3,조합
,행렬,D1,행렬의 뜻과 연산
공수2,도형의 방정식,E1,점과 좌표
,,E2,직선의 방정식
,,E3,원의 방정식
,,E4,도형의 이동
,집합과 명제,F1,집합
,,F2,명제
,,F3,절대부등식
,함수,G1,함수론
,,G2,유리함수
,,G3,무리함수
대수,지수로그함수,H1,지수
,,H2,로그
,,H3,지수함수
,,H4,로그함수
,삼각함수,I1,삼각함수 뜻과 성질
,,I2,삼각함수 그래프
,,I3,삼각형 활용
,수열,J1,등차수열과 등비수열
,,J2,수열의 합
,,J3,수학적 귀납법
미적분1,함수의 극한과 연속,K1,함수의 극한
,,K2,함수의 연속
,미분법,L1,미분계수와 도함수
,,L2,접선
,,L3,극대극소
,,L4,"방정식, 부등식과 미분"
,,L5,"속도, 가속도와 미분"
,적분법,M1,부정적분
,,M2,정적분
,,M3,정적분의 활용
확률과 통계,경우의 수,N1,여러가지 순열
,,N2,중복조합
,,N3,이항정리
,확률,O1,확률의 뜻과 덧셈정리
,,O2,조건부확률
,통계,P1,이산확률분포
,,P2,정규분포
,,P3,통계적 추정
미적분2,수열의 극한,Q1,수열의 극한
,,Q2,급수
,미분법,R1,지수로그함수의 극한과 미분
,,R2,삼각함수 덧셈정리
,,R3,삼각함수의 극한과 미분
,,R4,여러가지 미분법
,,R5,도함수 활용
,적분법,S1,여러가지 적분법
,,S2,정적분
,,S3,정적분의 활용
기하,이차곡선,T1,포물선
,,T2,타원
,,T3,쌍곡선
,,T4,이차곡선의 접선
,공간도형,U1,공간도형
,,U2,공간좌표
,벡터,V1,평면벡터의 연산
,,V2,평면벡터의 성분과 내적
,,V3,공간벡터
